lemma,poscode,surface
Pfretzschner,3,
Piepenbrock,3,
Pikart,3,
Piper,3,
Pohl,3,
Pokrant,3,
Portmann,3,
Pritsch,3,
Quack,3,
Quentin,3,
Radtke,3,
Raebel,3,
Räfle,3,
Raske,3,
Rassow,3,
Raum,3,
Rebitzki,3,
Recken,3,
Reichart,3,
Reinhardt,3,
Reinicke,3,
Reiter,3,
Remmert,3,
Remus,3,
Riese,3,
Rietschel,3,
Rinck,3,
Rinne,3,
Rissing-v_ Saan,3,
Rissing-van Saan,3,
Ritter,3,
Rogge,3,
Roggenbuck,3,
Röhricht,3,
Roloff,3,
Römer,3,
Rotberg,3,
Roth,3,
Rothe,3,
Rothfuß,3,
Rottmüller,3,
Ruß,3,
Sacher,3,
Salger,3,
Sander,3,
Sanders,3,
Sarstedt,3,
Sauer,3,
Schaal,3,
Schäfer,3,
Schaffert,3,
Schalscha,3,
Scharen,3,
Scharpenseel,3,
Schauenburg,3,
Scheffen,3,
Scheffler,3,
Schelb,3,
Schikora,3,
Schilling,3,
Schimansky,3,
Schlichting,3,
Schlick,3,
Schluckebier,3,
Schmaltz,3,
Schmidt-Kessel,3,
Schmidt-Räntsch,3,
Schmidt,3,
Schmitt,3,
Schmitz,3,
Schneider,3,
Scholz-Hoppe,3,
Schomburg,3,
Schönberg,3,
Schoppmeyer,3,
Schramm,3,
Schubath,3,
Schulze,3,
Schumacher,3,
Schuster,3,
Schwerdtfeger,3,
Schwonke,3,
Seibert,3,
Seidl,3,
Seiffert,3,
Seiters,3,
Selowsky,3,
Siemer,3,
Simon,3,
Siol,3,
Skibbe,3,
Solin-Stojanovic,3,
Solin-Stojanović,3,
Sonnabend,3,
Sost-Scheible,3,
Spaniol,3,
Spengler,3,
Spiegel,3,
Spieler,3,
Spreng,3,
Sprenkmann,3,
Sprick,3,
Starck,3,
Steffen,3,
Stein,3,
Steindorf,3,
Stimpel,3,
Stodolkowitz,3,
Stöhr,3,
Streck,3,
Stresemann,3,
Strickert,3,
Strohn,3,
Sunder,3,
Tasche,3,
Teplitzky,3,
Tepperwien,3,
Terno,3,
Theune,3,
Thode,3,
Thumm,3,
Tidow,3,
Tiemann,3,
Tolksdorf,3,
Tombrink,3,
Treier,3,
Tropf,3,
Trüstedt,3,
Ullmann,3,
Ulsamer,3,
Ungern-Sternberg,3,
UngernSternberg,3,
Vézina,3,
Vill,3,
Vogt,3,
Wagenitz,3,
Wahl,3,
Walchshöfer,3,
Waschow,3,
Wassermann,3,
Weber-Monecke,3,
Weber,3,
Weinkauff,3,
Weinland,3,
Weiss,3,
Wellner,3,
Wendt,3,
Wenzel,3,
Werner,3,
Werp,3,
Wiebel,3,
Wiechers,3,
Wiefels,3,
Wilde,3,
Wilden,3,
Willms,3,
Wimmer,3,
Windisch,3,
Winkelmann,3,
Winkler,3,
Winter,3,
Wirtzfeld,3,
Woesner,3,
Wolany,3,
Wolf,3,
Wolfhart,3,
Wolst,3,
Wöstmann,3,
Wurm,3,
Wüstenberg,3,
Zeng,3,
Zipfel,3,
Zoll,3,
Zopfs,3,
Zorn,3,
Zschockelt,3,
Zugehör,3,
Zülch,3,
Zündorf,3,
Zysk,3,
