lemma,poscode,surface
AG Bad Freienwalde,3,AG Bad Freienwalde,Amtsgericht Bad Freienwalde,Amtsgerichts Bad Freienwalde,Amtsgerichtes Bad Freienwalde
AG Bad Gandersheim,3,AG Bad Gandersheim,Amtsgericht Bad Gandersheim,Amtsgerichts Bad Gandersheim,Amtsgerichtes Bad Gandersheim
AG Bad Harzburg,3,AG Bad Harzburg,Amtsgericht Bad Harzburg,Amtsgerichts Bad Harzburg,Amtsgerichtes Bad Harzburg
AG Bad Hersfeld,3,AG Bad Hersfeld,Amtsgericht Bad Hersfeld,Amtsgerichts Bad Hersfeld,Amtsgerichtes Bad Hersfeld
AG Bad Homburg,3,AG Bad Homburg,Amtsgericht Bad Homburg,Amtsgerichts Bad Homburg,Amtsgerichtes Bad Homburg
AG Bad Iburg,3,AG Bad Iburg,Amtsgericht Bad Iburg,Amtsgerichts Bad Iburg,Amtsgerichtes Bad Iburg
AG Bad Kissingen,3,AG Bad Kissingen,Amtsgericht Bad Kissingen,Amtsgerichts Bad Kissingen,Amtsgerichtes Bad Kissingen
AG Bad Kreuznach,3,AG Bad Kreuznach,Amtsgericht Bad Kreuznach,Amtsgerichts Bad Kreuznach,Amtsgerichtes Bad Kreuznach
AG Bad Langensalza,3,AG Bad Langensalza,Amtsgericht Bad Langensalza,Amtsgerichts Bad Langensalza,Amtsgerichtes Bad Langensalza
AG Bad Liebenwerda,3,AG Bad Liebenwerda,Amtsgericht Bad Liebenwerda,Amtsgerichts Bad Liebenwerda,Amtsgerichtes Bad Liebenwerda
AG Bad Lobenstein,3,AG Bad Lobenstein,Amtsgericht Bad Lobenstein,Amtsgerichts Bad Lobenstein,Amtsgerichtes Bad Lobenstein
AG Bad Mergentheim,3,AG Bad Mergentheim,Amtsgericht Bad Mergentheim,Amtsgerichts Bad Mergentheim,Amtsgerichtes Bad Mergentheim
AG Bad Neuenahr-Ahrweiler,3,AG Bad Neuenahr-Ahrweiler,Amtsgericht Bad Neuenahr-Ahrweiler,Amtsgerichts Bad Neuenahr-Ahrweiler,Amtsgerichtes Bad Neuenahr-Ahrweiler
AG Bad Neustadt/Saale,3,AG Bad Neustadt/Saale,Amtsgericht Bad Neustadt/Saale,Amtsgerichts Bad Neustadt/Saale,Amtsgerichtes Bad Neustadt/Saale
AG Bad Oeynhausen,3,AG Bad Oeynhausen,Amtsgericht Bad Oeynhausen,Amtsgerichts Bad Oeynhausen,Amtsgerichtes Bad Oeynhausen
AG Bad Oldesloe,3,AG Bad Oldesloe,Amtsgericht Bad Oldesloe,Amtsgerichts Bad Oldesloe,Amtsgerichtes Bad Oldesloe
AG Bad Säckingen,3,AG Bad Säckingen,Amtsgericht Bad Säckingen,Amtsgerichts Bad Säckingen,Amtsgerichtes Bad Säckingen
AG Bad Salzuflen,3,AG Bad Salzuflen,Amtsgericht Bad Salzuflen,Amtsgerichts Bad Salzuflen,Amtsgerichtes Bad Salzuflen
AG Bad Salzungen,3,AG Bad Salzungen,Amtsgericht Bad Salzungen,Amtsgerichts Bad Salzungen,Amtsgerichtes Bad Salzungen
AG Bad Saulgau,3,AG Bad Saulgau,Amtsgericht Bad Saulgau,Amtsgerichts Bad Saulgau,Amtsgerichtes Bad Saulgau
AG Bad Schwalbach,3,AG Bad Schwalbach,Amtsgericht Bad Schwalbach,Amtsgerichts Bad Schwalbach,Amtsgerichtes Bad Schwalbach
AG Bad Schwartau,3,AG Bad Schwartau,Amtsgericht Bad Schwartau,Amtsgerichts Bad Schwartau,Amtsgerichtes Bad Schwartau
AG Bad Segeberg,3,AG Bad Segeberg,Amtsgericht Bad Segeberg,Amtsgerichts Bad Segeberg,Amtsgerichtes Bad Segeberg
AG Bad Sobernheim,3,AG Bad Sobernheim,Amtsgericht Bad Sobernheim,Amtsgerichts Bad Sobernheim,Amtsgerichtes Bad Sobernheim
AG Bad Urach,3,AG Bad Urach,Amtsgericht Bad Urach,Amtsgerichts Bad Urach,Amtsgerichtes Bad Urach
AG Bad Vilbel,3,AG Bad Vilbel,Amtsgericht Bad Vilbel,Amtsgerichts Bad Vilbel,Amtsgerichtes Bad Vilbel
AG Bad Waldsee,3,AG Bad Waldsee,Amtsgericht Bad Waldsee,Amtsgerichts Bad Waldsee,Amtsgerichtes Bad Waldsee
AG Bad Wildungen,3,AG Bad Wildungen,Amtsgericht Bad Wildungen,Amtsgerichts Bad Wildungen,Amtsgerichtes Bad Wildungen
AG Baden-Baden,3,AG Baden-Baden,Amtsgericht Baden-Baden,Amtsgerichts Baden-Baden,Amtsgerichtes Baden-Baden
AG Balingen,3,AG Balingen,Amtsgericht Balingen,Amtsgerichts Balingen,Amtsgerichtes Balingen
AG Bamberg,3,AG Bamberg,Amtsgericht Bamberg,Amtsgerichts Bamberg,Amtsgerichtes Bamberg
AG Bautzen,3,AG Bautzen,Amtsgericht Bautzen,Amtsgerichts Bautzen,Amtsgerichtes Bautzen
AG Bayreuth,3,AG Bayreuth,Amtsgericht Bayreuth,Amtsgerichts Bayreuth,Amtsgerichtes Bayreuth
AG Beckum,3,AG Beckum,Amtsgericht Beckum,Amtsgerichts Beckum,Amtsgerichtes Beckum
AG Bensberg,3,AG Bensberg,Amtsgericht Bensberg,Amtsgerichts Bensberg,Amtsgerichtes Bensberg
AG Bensheim,3,AG Bensheim,Amtsgericht Bensheim,Amtsgerichts Bensheim,Amtsgerichtes Bensheim
AG Berchtesgaden,3,AG Berchtesgaden,Amtsgericht Berchtesgaden,Amtsgerichts Berchtesgaden,Amtsgerichtes Berchtesgaden
